GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
879079583,SushiGo,3,GAME_OVER,98,0,4,71,rhea,19.0,50.0,41.0,39.0,rmhc,mcts,Basic MCTS,4,rhea,4,1,1,2,2,3,rmhc,3,mcts,Basic MCTS,rmhc,rhea,Basic MCTS,mcts,0
-619666105,SushiGo,3,GAME_OVER,97,0,4,72,rhea,25.0,38.0,31.0,34.0,rmhc,mcts,Basic MCTS,4,rhea,4,1,1,3,3,2,rmhc,2,mcts,Basic MCTS,rmhc,rhea,Basic MCTS,mcts,0
503938916,SushiGo,3,GAME_OVER,98,0,4,73,rhea,19.0,34.0,33.0,43.0,rmhc,mcts,Basic MCTS,4,rhea,4,2,2,3,3,1,rmhc,1,mcts,Basic MCTS,rmhc,rhea,Basic MCTS,mcts,2
346665430,SushiGo,3,GAME_OVER,96,0,4,74,rmhc,35.0,26.0,31.0,41.0,Basic MCTS,mcts,rhea,2,rmhc,2,4,4,3,3,1,Basic MCTS,1,mcts,rhea,Basic MCTS,rmhc,rhea,mcts,2
879079583,SushiGo,3,GAME_OVER,98,0,4,75,rmhc,26.0,15.0,47.0,55.0,Basic MCTS,mcts,rhea,3,rmhc,3,4,4,2,2,1,Basic MCTS,1,mcts,rhea,Basic MCTS,rmhc,rhea,mcts,2
-619666105,SushiGo,3,GAME_OVER,98,0,4,76,rmhc,36.0,22.0,41.0,48.0,Basic MCTS,mcts,rhea,3,rmhc,3,4,4,2,2,1,Basic MCTS,1,mcts,rhea,Basic MCTS,rmhc,rhea,mcts,2
503938916,SushiGo,3,GAME_OVER,98,0,4,77,rmhc,35.0,23.0,51.0,48.0,Basic MCTS,mcts,rhea,3,rmhc,3,4,4,1,1,2,Basic MCTS,2,mcts,rhea,Basic MCTS,rmhc,rhea,mcts,3
346665430,SushiGo,3,GAME_OVER,97,0,4,78,rmhc,38.0,27.0,44.0,43.0,Basic MCTS,rhea,mcts,3,rmhc,3,4,4,1,1,2,Basic MCTS,2,rhea,mcts,Basic MCTS,rmhc,mcts,rhea,3
879079583,SushiGo,3,GAME_OVER,97,0,4,79,rmhc,26.0,16.0,46.0,40.0,Basic MCTS,rhea,mcts,3,rmhc,3,4,4,1,1,2,Basic MCTS,2,rhea,mcts,Basic MCTS,rmhc,mcts,rhea,3
-619666105,SushiGo,3,GAME_OVER,99,0,4,80,rmhc,36.0,18.0,59.0,40.0,Basic MCTS,rhea,mcts,3,rmhc,3,4,4,1,1,2,Basic MCTS,2,rhea,mcts,Basic MCTS,rmhc,mcts,rhea,3
